TestNum,Iterations,AvgIterationTime,TotalTime,InitialError,FinalError,TargetX,TargetY,TargetDistanceFromBase
1,2,0.000001450000,0.000002900000,62.891380000000,0.041375800000,-8.019114000000,-22.378040000000,23.771470000000
2,2,0.000001300000,0.000002600000,24.283440000000,0.004295248000,7.863053000000,17.024840000000,18.752940000000
3,4,0.000001350000,0.000005400000,55.214700000000,0.052794430000,27.466370000000,-7.898456000000,28.579480000000
4,1,0.000001500000,0.000001500000,17.959790000000,0.030405600000,-6.856623000000,23.400580000000,24.384430000000
5,8,0.000001275000,0.000010200000,61.168370000000,0.053228950000,31.375530000000,-12.508520000000,33.777020000000
6,2,0.000001300000,0.000002600000,40.567130000000,0.017164780000,17.457940000000,3.381532000000,17.782420000000
7,11,0.000001272727,0.000014000000,39.627510000000,0.048659940000,1.384796000000,0.396697800000,1.440496000000
8,7,0.000001271429,0.000008900000,64.954830000000,0.044051720000,1.029878000000,-24.946670000000,24.967920000000
9,2,0.000001250000,0.000002500000,43.946300000000,0.000977568300,7.745701000000,-3.258315000000,8.403125000000
10,6,0.000001266667,0.000007600000,38.873100000000,0.013584150000,0.162127800000,1.127235000000,1.138835000000
11,17,0.000001264706,0.000021500000,76.796420000000,0.056703670000,17.434800000000,-34.791160000000,38.915260000000
12,2,0.000001450000,0.000002900000,15.505310000000,0.044435180000,-5.628779000000,25.552460000000,26.165080000000
13,2,0.000001300000,0.000002600000,37.725620000000,0.016646400000,1.738501000000,2.314453000000,2.894664000000
14,1,0.000001200000,0.000001200000,49.701270000000,0.051270180000,7.997642000000,-9.053587000000,12.080140000000
15,1,0.000002100000,0.000002100000,35.786130000000,0.036369980000,-5.792067000000,4.685717000000,7.450099000000
16,1,0.000001400000,0.000001400000,41.370990000000,0.032460240000,-11.176170000000,0.167202200000,11.177420000000
17,2,0.000001350000,0.000002700000,50.257740000000,0.026985750000,20.334700000000,-5.960208000000,21.190190000000
18,1,0.000001400000,0.000001400000,50.838370000000,0.048259810000,18.236010000000,-7.455112000000,19.701030000000
19,3,0.000001266667,0.000003800000,38.308980000000,0.012378880000,-1.245728000000,1.711285000000,2.116680000000
20,2,0.000001300000,0.000002600000,77.775380000000,0.056689080000,2.259669000000,-37.742560000000,37.810140000000
21,1,0.000001300000,0.000001300000,70.094450000000,0.015874840000,-11.425620000000,-29.156970000000,31.315720000000
22,8,0.000001250000,0.000010000000,63.538930000000,0.051648020000,30.527460000000,-15.724950000000,34.339480000000
23,1,0.000001200000,0.000001200000,19.320150000000,0.001757269000,7.482607000000,22.187680000000,23.415430000000
24,1,0.000001200000,0.000001200000,20.156140000000,0.056188440000,-5.668961000000,20.657490000000,21.421220000000
25,9,0.000001311111,0.000011800000,57.946300000000,0.045556870000,-32.427210000000,-8.023431000000,33.405080000000
26,8,0.000001262500,0.000010100000,46.474010000000,0.053410060000,-30.939660000000,5.321894000000,31.394030000000
27,6,0.000001316667,0.000007900000,39.943190000000,0.059936590000,-2.907159000000,0.162745100000,2.911711000000
28,2,0.000001250000,0.000002500000,37.599510000000,0.029841240000,7.834533000000,3.225785000000,8.472638000000
29,5,0.000001240000,0.000006200000,40.177880000000,0.027144980000,5.951462000000,0.265352500000,5.957375000000
30,1,0.000001500000,0.000001500000,42.942840000000,0.017778290000,-4.514500000000,-2.704883000000,5.262804000000
31,1,0.000001300000,0.000001300000,70.653870000000,0.024419460000,-9.693389000000,-29.985770000000,31.513610000000
32,5,0.000001320000,0.000006600000,12.852520000000,0.034858260000,-10.810680000000,33.048990000000,34.772210000000
33,2,0.000001350000,0.000002700000,28.057160000000,0.000215560500,4.579047000000,12.319020000000,13.142530000000
34,6,0.000001283333,0.000007700000,32.151040000000,0.034349830000,22.479110000000,17.013510000000,28.191670000000
35,14,0.000001292857,0.000018100000,51.178170000000,0.050061730000,34.962500000000,2.625834000000,35.060970000000
36,5,0.000001280000,0.000006400000,31.654300000000,0.031912920000,20.977680000000,16.294900000000,26.562890000000
37,1,0.000001200000,0.000001200000,43.575650000000,0.001125737000,3.788950000000,-3.410608000000,5.097880000000
38,24,0.000002104167,0.000050500000,48.987580000000,0.052345980000,-36.538030000000,7.369411000000,37.273800000000
39,2,0.000001400000,0.000002800000,74.269930000000,0.002185409000,-13.026770000000,-33.118570000000,35.588430000000
40,5,0.000001300000,0.000006500000,47.090970000000,0.040472030000,4.100298000000,-6.912119000000,8.036780000000
41,2,0.000001450000,0.000002900000,33.417870000000,0.019520060000,15.813500000000,10.560450000000,19.015510000000
42,2,0.000001350000,0.000002700000,37.521000000000,0.003357603000,1.937531000000,2.529056000000,3.185930000000
43,2,0.000001300000,0.000002600000,60.951290000000,0.016793880000,-8.178457000000,-20.400110000000,21.978440000000
44,15,0.000001260000,0.000018900000,40.347730000000,0.047565090000,-0.752196700000,-0.340722900000,0.825767500000
45,2,0.000001400000,0.000002800000,17.903730000000,0.024098400000,1.164807000000,22.134200000000,22.164830000000
46,9,0.000001300000,0.000011700000,44.368160000000,0.054606150000,-31.098000000000,8.354337000000,32.200630000000
47,4,0.000001350000,0.000005400000,53.772880000000,0.025706590000,-25.839880000000,-7.157434000000,26.812830000000
48,1,0.000001400000,0.000001400000,39.982000000000,0.018000300000,0.008520975000,0.018002760000,0.019917490000
49,3,0.000001333333,0.000004000000,49.047650000000,0.018852340000,-22.004670000000,-3.834537000000,22.336280000000
50,7,0.000001271429,0.000008900000,71.040020000000,0.016823040000,0.239690000000,-31.039620000000,31.040540000000
51,3,0.000001233333,0.000003700000,26.620910000000,0.038058610000,16.333590000000,18.978900000000,25.039670000000
52,8,0.000001350000,0.000010800000,47.241970000000,0.028195880000,-0.331544300000,-7.240810000000,7.248396000000
53,23,0.000001265218,0.000029100010,45.637360000000,0.057963570000,35.470160000000,11.283510000000,37.221630000000
54,4,0.000001250000,0.000005000000,48.037000000000,0.022384780000,7.702660000000,-7.415420000000,10.692030000000
55,3,0.000001300000,0.000003900000,65.467380000000,0.004080080000,-6.155472000000,-25.177350000000,25.918890000000
56,3,0.000001266667,0.000003800000,32.168010000000,0.021740690000,-7.099308000000,8.625161000000,11.171100000000
57,13,0.000001269231,0.000016500000,67.285800000000,0.050915990000,30.357970000000,-20.048080000000,36.380380000000
58,1,0.000001400000,0.000001400000,3.800657000000,0.012466570000,-2.496522000000,37.134280000000,37.218100000000
59,1,0.000001300000,0.000001300000,42.908040000000,0.007222163000,-3.125963000000,-2.794024000000,4.192638000000
60,2,0.000001500000,0.000003000000,44.251550000000,0.002449496000,9.997708000000,-3.107375000000,10.469480000000
61,18,0.000001327778,0.000023900000,56.280600000000,0.044551500000,-0.986219400000,-16.271960000000,16.301820000000
62,1,0.000001300000,0.000001300000,61.585740000000,0.058475880000,13.969210000000,-19.980530000000,24.379510000000
63,1,0.000001400000,0.000001400000,69.192890000000,0.041793960000,-15.327520000000,-27.473880000000,31.460250000000
64,2,0.000001250000,0.000002500000,44.278240000000,0.000907645200,5.852945000000,-3.889699000000,7.027569000000
65,2,0.000001300000,0.000002600000,76.535290000000,0.000187057000,2.827819000000,-36.483020000000,36.592450000000
66,2,0.000001300000,0.000002600000,24.568890000000,0.057065400000,14.323010000000,20.037990000000,24.630660000000
67,2,0.000001250000,0.000002500000,37.367400000000,0.019567750000,-8.190881000000,3.541363000000,8.923664000000
68,1,0.000001500000,0.000001500000,33.258400000000,0.043373900000,-10.544330000000,8.457358000000,13.517020000000
69,6,0.000001233333,0.000007400000,67.875600000000,0.056713230000,27.192700000000,-22.190460000000,35.097850000000
70,3,0.000001300000,0.000003900000,37.461800000000,0.053793650000,-20.583150000000,8.699508000000,22.346080000000
71,11,0.000001300000,0.000014300000,65.264970000000,0.052204880000,-31.092730000000,-17.382560000000,35.621780000000
72,1,0.000001300000,0.000001300000,36.008950000000,0.028055890000,-9.689609000000,5.319234000000,11.053630000000
73,1,0.000001300000,0.000001300000,19.520620000000,0.000776234700,8.306620000000,22.334930000000,23.829590000000
74,4,0.000001300000,0.000005200000,25.442530000000,0.024858810000,-16.759920000000,20.857710000000,26.757030000000
75,2,0.000001250000,0.000002500000,44.697360000000,0.000492125900,-0.574330100000,-4.693667000000,4.728675000000
76,7,0.000001414286,0.000009900000,46.657830000000,0.035488500000,29.294450000000,3.684875000000,29.525300000000
77,2,0.000001450000,0.000002900000,36.572140000000,0.000011506010,-3.410227000000,3.587203000000,4.949512000000
78,2,0.000001400000,0.000002800000,66.714460000000,0.050473060000,-0.342442100000,-26.713580000000,26.715780000000
79,6,0.000001300000,0.000007799999,41.948410000000,0.044185390000,27.006820000000,7.901707000000,28.139040000000
80,2,0.000001250000,0.000002500000,46.227940000000,0.029148770000,-19.490180000000,-1.918431000000,19.584370000000
81,2,0.000001250000,0.000002500000,30.227700000000,0.036758580000,15.659920000000,14.145010000000,21.102470000000
82,1,0.000001300000,0.000001300000,41.356280000000,0.035195620000,12.151710000000,0.469285400000,12.160770000000
83,1,0.000001300000,0.000001300000,10.379880000000,0.026171840000,-3.300696000000,30.158900000000,30.338980000000
84,3,0.000001400000,0.000004200000,73.221030000000,0.028356910000,-20.488590000000,-30.296060000000,36.573680000000
85,286,0.000001281121,0.000366400500,77.752950000000,0.059920450000,18.262390000000,-35.577820000000,39.991200000000
86,15,0.000001440000,0.000021600000,53.841930000000,0.047270910000,35.415890000000,-0.554510200000,35.420230000000
87,1,0.000001300000,0.000001300000,35.359690000000,0.009162391000,-0.444097000000,4.643098000000,4.664288000000
88,11,0.000001236364,0.000013600000,73.625570000000,0.036454860000,3.093504000000,-33.560550000000,33.702830000000
89,75,0.000001281334,0.000096100060,67.024340000000,0.058522510000,-35.724020000000,-16.710290000000,39.439060000000
90,5,0.000001340000,0.000006700000,16.510700000000,0.041945140000,-3.067623000000,23.776780000000,23.973850000000
91,4,0.000001275000,0.000005100000,57.337720000000,0.036056320000,-26.976050000000,-10.595520000000,28.982270000000
92,3,0.000001533333,0.000004600000,65.913100000000,0.001242518000,-4.015012000000,-25.790700000000,26.101360000000
93,2,0.000001300000,0.000002600000,68.673000000000,0.000022967520,-5.121845000000,-28.481730000000,28.938590000000
94,2,0.000001300000,0.000002600000,37.288550000000,0.000026788960,-2.467915000000,2.793206000000,3.727279000000
95,27,0.000001248148,0.000033700000,32.184020000000,0.053042560000,0.467279200000,7.819374000000,7.833323000000
96,2,0.000001250000,0.000002500000,20.850790000000,0.003553690000,-0.785791200000,19.164020000000,19.180120000000
97,1,0.000001400000,0.000001400000,59.806410000000,0.054494920000,0.083347610000,-19.806350000000,19.806530000000
98,3,0.000001266667,0.000003800000,41.436490000000,0.039419980000,-1.477022000000,-1.410160000000,2.042093000000
99,2,0.000001350000,0.000002700000,49.420090000000,0.003688628000,6.924139000000,-8.932616000000,11.302010000000
100,1,0.000001200000,0.000001200000,35.218850000000,0.000191961700,9.660658000000,6.132030000000,11.442470000000
101,2,0.000001350000,0.000002700000,42.512200000000,0.000116764300,2.146570000000,-2.457972000000,3.263340000000
102,1,0.000001300000,0.000001300000,49.294340000000,0.045642330000,17.761810000000,-5.983146000000,18.742470000000
103,2,0.000001250000,0.000002500000,49.138100000000,0.007608975000,7.698278000000,-8.531327000000,11.491170000000
104,1,0.000001300000,0.000001300000,24.732800000000,0.019982290000,-11.328310000000,18.014080000000,21.279980000000
105,1,0.000001300000,0.000001300000,32.688120000000,0.053805490000,11.349610000000,9.345480000000,14.702090000000
106,2,0.000001300000,0.000002600000,62.228500000000,0.051382240000,9.296118000000,-21.530230000000,23.451410000000
107,11,0.000001272727,0.000014000000,22.972620000000,0.057303230000,-19.921300000000,28.559580000000,34.821090000000
108,12,0.000001283333,0.000015400000,9.189753000000,0.048723630000,-8.674068000000,36.964860000000,37.968940000000
109,2,0.000001300000,0.000002600000,34.095830000000,0.033228670000,0.322323700000,5.905694000000,5.914483000000
110,9,0.000001311111,0.000011800000,43.416590000000,0.050401390000,30.641580000000,9.241365000000,32.004840000000
111,3,0.000001433333,0.000004300000,36.683370000000,0.038521230000,-19.760800000000,9.094002000000,21.752930000000
112,6,0.000001250000,0.000007500000,61.804550000000,0.056017120000,-29.806110000000,-14.142390000000,32.991090000000
113,2,0.000001300000,0.000002600000,36.955050000000,0.000003840802,0.292101600000,3.046105000000,3.060079000000
114,2,0.000001350000,0.000002700000,34.443470000000,0.000379955800,-1.376373000000,5.584041000000,5.751166000000
115,2,0.000001250000,0.000002500000,39.466360000000,0.033338020000,18.015000000000,4.885141000000,18.665610000000
116,44,0.000001272727,0.000056000000,45.479330000000,0.059875660000,36.559040000000,12.948090000000,38.784230000000
117,50,0.000001282000,0.000064100010,45.495380000000,0.058789660000,36.696840000000,13.108150000000,38.967700000000
118,2,0.000001350000,0.000002700000,42.012100000000,0.002068219000,3.705457000000,-1.848366000000,4.140878000000
119,1,0.000001200000,0.000001200000,62.895930000000,0.023827230000,8.428750000000,-22.328600000000,23.866510000000
120,4,0.000001300000,0.000005200000,47.976270000000,0.059345180000,6.919634000000,-7.474637000000,10.185850000000
121,4,0.000001225000,0.000004900000,36.617600000000,0.037490780000,-21.627460000000,10.451710000000,24.020520000000
122,7,0.000001271428,0.000008900000,47.401040000000,0.046178130000,2.885161000000,-7.313150000000,7.861700000000
123,108,0.000001279630,0.000138200000,45.046500000000,0.059723720000,37.010010000000,14.320300000000,39.683900000000
124,3,0.000001333333,0.000004000000,54.004260000000,0.017864960000,-7.640089000000,-13.461100000000,15.478120000000
